Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EmployeeValueScore,ReplacementDifficulty,FinancialLoss,AttritionProbability,CriticalityScore,CriticalityLevel,ActionPriority,Recommendations
24,0,830,2,13,2,1,4,0,78,3,1,8,2,1,2033,7103,1,0,13,3,3,1,1,2,3,1,0,0,0,75.033,28,112198,0.167509846740874,394.8533245300942,Low,Monitor,"['Improve job satisfaction', 'Consider salary adjustment']"
44,2,1117,1,2,1,1,1,0,72,4,1,6,4,1,2011,19982,1,0,13,3,4,1,10,5,3,10,5,7,7,102.011,100,1012066,0.0079389442392733,819.631407218318,Low,Monitor,"['Improve work environment', 'Consider salary adjustment', 'Provide promotion opportunity']"
31,2,688,2,7,3,1,3,1,44,2,3,3,4,0,11557,25291,9,0,21,4,3,1,10,3,2,5,4,0,1,136.557,115,569342,0.2139203371427547,19126.570456467754,Medium,Review Within 30 Days,"['Provide flexible work policy', 'Increase employee engagement']"
44,2,1199,1,4,2,1,3,1,92,4,5,3,1,0,19190,17477,1,0,14,3,4,2,26,4,2,25,9,14,13,204.19,303,2615140,0.0023012027393858,3723.2905109730623,Low,Monitor,"['Improve job satisfaction', 'Provide flexible work policy', 'Provide promotion opportunity']"
36,2,318,1,9,3,3,4,1,79,2,1,6,3,1,3388,21777,0,1,17,3,1,1,2,0,2,1,0,0,0,76.388,31,120328,0.4845795301480296,1380.761267838479,Low,Monitor,"['Provide flexible work policy', 'Increase employee engagement', 'Reduce overtime workload', 'Consider salary adjustment']"
40,2,448,1,16,3,1,3,0,84,3,3,4,4,2,7945,19948,6,1,15,3,4,0,18,2,2,4,2,3,3,109.945,134,447670,0.2830540499584894,18668.4236034784,Medium,Review Within 30 Days,"['Provide flexible work policy', 'Offer stock incentives', 'Reduce overtime workload']"
52,2,319,1,3,3,3,4,1,39,2,3,4,3,1,7969,19609,2,1,14,3,3,0,28,4,3,5,4,0,4,112.969,169,547814,0.0208258114949328,2178.1162193606738,Low,Monitor,"['Offer stock incentives', 'Increase employee engagement', 'Reduce overtime workload']"
43,2,823,1,6,3,3,1,0,81,2,5,3,3,1,19392,22539,7,0,13,3,4,0,21,2,3,16,12,6,14,177.392,243,1716352,0.0099553678964173,7365.529580932943,Low,Monitor,"['Offer stock incentives', 'Increase employee engagement', 'Improve work environment', 'Provide promotion opportunity']"
35,2,1370,1,27,4,1,4,1,49,3,2,4,3,1,6883,5151,2,0,16,3,2,1,17,3,3,7,7,0,7,107.883,126,741298,0.0092081665970697,927.87517694675,Low,Monitor,['Maintain current retention strategy']
18,0,1431,1,14,3,3,2,0,33,3,1,6,3,2,1514,8018,1,0,16,3,3,0,0,4,1,0,0,0,0,71.514,20,9084,0.3406904342442724,44.26476176618517,Low,Monitor,"['Provide flexible work policy', 'Offer stock incentives', 'Improve work environment', 'Consider salary adjustment']"
34,2,678,1,19,3,1,2,0,35,2,1,6,4,1,2929,20338,1,0,12,3,2,0,10,3,3,10,9,8,7,102.929,100,1017574,0.1239734499887162,12984.715614760937,Medium,Review Within 30 Days,"['Offer stock incentives', 'Increase employee engagement', 'Improve work environment', 'Consider salary adjustment', 'Provide promotion opportunity']"
54,2,1082,2,2,4,1,3,0,41,2,3,7,3,1,10686,8392,6,0,11,3,2,1,13,4,3,9,4,7,0,127.686,144,964116,0.1075222329341764,19060.45832177056,Medium,Review Within 30 Days,"['Increase employee engagement', 'Provide promotion opportunity']"
35,1,138,1,2,3,3,2,0,37,3,2,2,2,2,4425,15986,5,0,11,3,4,0,10,5,3,6,2,1,2,102.425,100,626550,0.1848698586792593,11863.909254691056,Low,Monitor,"['Improve job satisfaction', 'Offer stock incentives', 'Improve work environment', 'Consider salary adjustment']"
31,2,196,2,29,4,2,1,0,91,2,2,7,4,1,5468,13402,1,0,14,3,1,2,13,3,3,12,7,5,7,121.468,139,1232808,0.2151303855552529,44778.94739795893,Critical,Immediate Action,"['Increase employee engagement', 'Improve work environment']"
51,1,968,1,6,2,3,2,0,40,2,1,2,3,2,2838,4257,0,0,14,3,2,0,8,6,2,7,0,7,7,93.838,79,717028,0.1374860002685205,7308.031778023626,Low,Monitor,"['Provide flexible work policy', 'Offer stock incentives', 'Increase employee engagement', 'Improve work environment', 'Consider salary adjustment', 'Provide promotion opportunity']"
27,2,1220,1,5,3,1,3,0,85,3,1,6,2,2,2478,20938,1,1,12,3,2,0,4,2,2,4,3,1,2,84.478,52,414868,0.5291619810779957,9643.741008987705,Low,Monitor,"['Improve job satisfaction', 'Provide flexible work policy', 'Offer stock incentives', 'Reduce overtime workload', 'Consider salary adjustment']"
41,2,645,2,1,3,2,2,1,49,4,3,7,1,1,8392,19566,1,0,16,3,3,1,10,2,3,10,7,0,7,128.392,140,1050352,0.0162427005044536,3066.6139219420797,Low,Monitor,"['Improve job satisfaction', 'Improve work environment']"
38,0,1327,2,2,2,1,4,1,39,2,2,7,4,1,5249,19682,3,0,18,3,4,1,13,0,3,8,7,7,5,109.249,119,831494,0.0320927769250685,3469.212071392972,Low,Monitor,"['Increase employee engagement', 'Provide promotion opportunity']"
30,2,946,1,2,3,3,3,0,52,2,2,4,4,2,6877,20234,5,1,24,4,2,0,12,4,2,0,0,0,0,106.877,76,41262,0.4345670682129938,1456.481370071585,Low,Monitor,"['Provide flexible work policy', 'Offer stock incentives', 'Increase employee engagement', 'Reduce overtime workload']"
